du_id,month,entity_code,nx
4,2016-01-01,2016,3
4,2016-01-01,2017,10
4,2016-02-01,2016,2
4,2016-02-01,2017,10
4,2016-03-01,2016,3
4,2016-03-01,2017,10
4,2016-04-01,2016,3
4,2016-04-01,2017,15
4,2016-05-01,2016,2
4,2016-05-01,2017,16
4,2016-06-01,2016,3
4,2016-06-01,2017,17
4,2016-07-01,2016,3
4,2016-07-01,2017,15
4,2016-08-01,2016,3
4,2016-08-01,2017,14
4,2016-09-01,2016,2
4,2016-09-01,2017,10
4,2016-10-01,2016,2
4,2016-10-01,2017,10
4,2016-11-01,2016,2
4,2016-11-01,2017,12
4,2016-12-01,2016,2
4,2016-12-01,2017,15
4,2017-01-01,2017,15
4,2017-02-01,2017,12
4,2017-03-01,2017,14
4,2017-04-01,2017,13
4,2017-05-01,2017,16
4,2017-06-01,2017,12
4,2017-07-01,2017,15
4,2017-08-01,2017,10
4,2017-09-01,2017,18
4,2017-10-01,2017,18
4,2017-11-01,2017,9
4,2017-12-01,2017,10
4,2018-01-01,2017,11
4,2018-02-01,2017,17
4,2018-03-01,2017,16
4,2018-04-01,2017,13
4,2018-05-01,2017,12
4,2018-06-01,2017,13
4,2018-07-01,2017,13
4,2018-08-01,2017,17
4,2018-09-01,2017,18
4,2018-10-01,2017,18
4,2018-11-01,2017,19
4,2018-12-01,2017,17
4,2019-01-01,2017,14
4,2019-02-01,2017,17
4,2019-03-01,2017,15
4,2019-04-01,2017,16
4,2019-05-01,2017,19
4,2019-06-01,2017,18
4,2019-07-01,2017,18
4,2019-08-01,2017,14
4,2019-09-01,2016,10
4,2019-10-01,2016,10
4,2019-11-01,2016,10
4,2019-12-01,2016,10
4,2020-01-01,2016,9
4,2020-02-01,2016,10
4,2020-03-01,2016,8
4,2020-04-01,2016,8
4,2020-05-01,2017,14
4,2020-06-01,2017,17
4,2020-07-01,2017,15
4,2020-08-01,2017,14
4,2020-09-01,2017,14
4,2020-10-01,2017,13
4,2020-11-01,2017,13
4,2020-12-01,2017,16
4,2021-01-01,2017,12
4,2021-02-01,2017,14
4,2021-03-01,2017,18
4,2021-04-01,2017,14
4,2021-05-01,2017,16
4,2021-06-01,2017,16
4,2021-07-01,2017,19
4,2021-08-01,2017,19
4,2021-09-01,2017,16
4,2021-10-01,2017,16
4,2021-11-01,2017,15
4,2021-12-01,2017,15
4,2022-01-01,2017,12
4,2022-02-01,2017,12
4,2022-03-01,2017,11
4,2022-04-01,2017,8
4,2022-05-01,2017,5
4,2022-06-01,2017,4
4,2022-07-01,2017,5
4,2022-08-01,2017,11
4,2022-09-01,2017,9
4,2022-10-01,2017,9
4,2022-11-01,2017,11
4,2022-12-01,2017,5
4,2023-01-01,2017,16
4,2023-02-01,2017,15
4,2023-03-01,2017,13
4,2023-04-01,2017,16
4,2023-05-01,2017,19
4,2023-06-01,2017,21
4,2023-07-01,2017,21
4,2023-08-01,2017,16
4,2023-09-01,2017,18
4,2023-10-01,2017,14
4,2023-11-01,2017,12
4,2023-12-01,2017,10
4,2024-01-01,2017,6
4,2024-02-01,2017,6
4,2024-03-01,2017,6
4,2024-04-01,2017,4
7,2016-01-01,2016,2
7,2016-01-01,2017,11
7,2016-02-01,2016,2
7,2016-02-01,2017,14
7,2016-03-01,2016,2
7,2016-03-01,2017,9
7,2016-04-01,2016,2
7,2016-04-01,2017,14
7,2016-05-01,2016,2
7,2016-05-01,2017,13
7,2016-06-01,2016,2
7,2016-06-01,2017,14
7,2016-07-01,2016,3
7,2016-07-01,2017,14
7,2016-08-01,2016,3
7,2016-08-01,2017,12
7,2016-09-01,2016,3
7,2016-09-01,2017,8
7,2016-10-01,2016,2
7,2016-10-01,2017,7
7,2016-11-01,2016,2
7,2016-11-01,2017,5
7,2016-12-01,2016,2
7,2016-12-01,2017,6
